"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","Site"
"1","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP9_dep1_2022"
"2","249","256","263","270","277","282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_7B_2019"
"3","242","249","256","263","270","277","284","291",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_8_2019"
"4","221","228","235","242","249","256","263","270","277","284","291","298","305","312","319","326","333","AZ_Desert_Sonoran_22_CONFORTI 08/06/2022_2022"
"5","250","257","264","271","278","285","292","299","306","313","318",NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_OWL_2022"
"6","285","292","299","306","313","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_RINGTAIL 10/09/2022_2022"
"7","217","224","231","238","245","252","259","266","273","279",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_TOAD_2022"
"8","217","224","231","236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_VIEW_2022"
"9","262","269","276","283","290","297","302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_LION_10-29-2023_2023"
"10","236","243","250","257","264","271","278","285","292","299","304",NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_OWL_10-31-2023_2023"
"11","238","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,"AZ_Desert_TV5_dep1_2022"
"12","245","252","259","266","273","280","287","294","301","308","315","320",NA,NA,NA,NA,NA,"AZ_Desert_UT3_2022"
"13","217","224","231","238","245","252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1002_20220718_2022"
"14","216","223","230","237","244","251","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1003_20220718_2022"
"15","216","223","230","237","244","251","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1004_20220718_2022"
"16","216","223","230","237","244","251","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1005_20220718_2022"
"17","217","224","231","238","245","252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1006_20220718_2022"
"18","216","223","230","237","244","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1007_20220718_2022"
"19","223","230","237","244","251","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1008_20220718_2022"
"20","216","223","230","237","244","251","258","265",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1101_20220722_2022"
"21","272","279","286","293","300","307","314","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1101_20220926_2022"
"22","223","230","237","244","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1102_20220722_2022"
"23","273","280","287","294","301","308","315","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1102_20220926_2022"
"24","221","228","235","242","249","256","263","268",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1103_20220722_2022"
"25","272","279","286","293","300","307","314","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1103_20220926_2022"
"26","217","224","231","238","245","252","259","265",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1104_20220722_2022"
"27","272","279","286","293","300","307","314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1104_20220926_2022"
"28","272","279","286","293","300","307","314","319",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1105_20220926_2022"
"29","275","282","289","296","303","310","316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1106_20220926_2022"
"30","276","283","290","297","304","311","316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1107_20220926_2022"
"31","272","279","286","293","300","307","314","319",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1108_20220926_2022"
"32","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1001_20220913_2022"
"33","264","271","278","285","292","299","306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1002_20220913_2022"
"34","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1003_20220913_2022"
"35","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1004_20220913_2022"
"36","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1005_20220913_2022"
"37","262","269","276","283","290","297","304","310",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1006_20220913_2022"
"38","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1007_20220913_2022"
"39","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1008_20220913_2022"
"40","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_14_2023"
"41","216","223","230","237","244","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100320230717_2023"
"42","259","266","273","280","287","294","301","308","315","322","329","334",NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100320230912_2023"
"43","216","223","230","237","244","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100420230717_2023"
"44","259","266","273","280","287","294","301","308","315","322","329","334",NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100420230912_2023"
"45","216","223","230","237","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100520230717_2023"
