Array,Site_Name,Survey_Days,Latitude,Longitude,Time_Zone,Year,Humans_Per_Camera,Humans_Per_Camera_Per_Day
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_1,64,59.42643,-136.2225,America/Juneau,2019,0,0
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_2,67,59.39905,-135.9288,America/Juneau,2019,3,0.0447761194029851
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_3,66,59.3802,-135.84097,America/Juneau,2019,6,0.0909090909090909
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_4,68,59.42641,-136.30461,America/Juneau,2019,7,0.102941176470588
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_5,68,59.41195,-136.15141,America/Juneau,2019,3,0.0441176470588235
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_6,79,59.41492,-136.0754,America/Juneau,2019,1,0.0126582278481013
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_7,64,59.41505,-136.0691,America/Juneau,2019,2,0.03125
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_8,65,59.41423,-136.06422,America/Juneau,2019,2,0.0307692307692308
AL_Forest_Auburn,AL_Forest_Auburn_1,25,32.66049,-85.4881,America/Chicago,2019,160,6.4
AL_Forest_Auburn,AL_Forest_Auburn_10,24,32.66487,-85.48588,America/Chicago,2019,87,3.625
AL_Forest_Auburn,AL_Forest_Auburn_12,20,32.6644,-85.48485,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_13,24,32.66379,-85.48567,America/Chicago,2019,1,0.0416666666666667
AL_Forest_Auburn,AL_Forest_Auburn_14,24,32.66455,-85.4863,America/Chicago,2019,3,0.125
AL_Forest_Auburn,AL_Forest_Auburn_15,24,32.66385,-85.48677,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_16,24,32.66366,-85.48525,America/Chicago,2019,95,3.95833333333333
AL_Forest_Auburn,AL_Forest_Auburn_17,24,32.66363,-85.48324,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_18,24,32.66131,-85.48274,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_19,21,32.66335,-85.48654,America/Chicago,2019,88,4.19047619047619
AL_Forest_Auburn,AL_Forest_Auburn_2,25,32.66125,-85.48711,America/Chicago,2019,3,0.12
AL_Forest_Auburn,AL_Forest_Auburn_20,23,32.66298,-85.48557,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_21,23,32.66153,-85.48549,America/Chicago,2019,15,0.652173913043478
AL_Forest_Auburn,AL_Forest_Auburn_22,23,32.66104,-85.48479,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_23,23,32.66043,-85.48366,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_24,23,32.65973,-85.48338,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_25,22,32.65897,-85.4828,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_26,23,32.65876,-85.4836,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_27,23,32.6596,-85.48561,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_3,25,32.66182,-85.48709,America/Chicago,2019,1,0.04
AL_Forest_Auburn,AL_Forest_Auburn_4,25,32.66249,-85.48768,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_5,25,32.66294,-85.48788,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_6,25,32.66269,-85.48874,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_7,25,32.66381,-85.48851,America/Chicago,2019,0,0
AL_Forest_Auburn,AL_Forest_Auburn_8,25,32.66496,-85.48828,America/Chicago,2019,2,0.08
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_1,45,36.06512,-94.23357,America/Chicago,2019,0,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_10,46,36.06722,-94.23393,America/Chicago,2019,0,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_11,8,36.06946,-94.2387,America/Chicago,2019,5,0.625
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_12,46,36.06951,-94.23688,America/Chicago,2019,0,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_3,46,36.06882,-94.23449,America/Chicago,2019,0,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_5,39,36.06684,-94.23191,America/Chicago,2019,4,0.102564102564103
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_6,46,36.06537,-94.23211,America/Chicago,2019,0,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_7,46,36.06504,-94.23568,America/Chicago,2019,0,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_8,46,36.06489,-94.23813,America/Chicago,2019,5,0.108695652173913
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_9,46,36.06697,-94.23611,America/Chicago,2019,0,0
AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_1,56,33.74051,-111.8153,America/Phoenix,2019,7,0.125
AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_10,56,33.74075,-111.80756,America/Phoenix,2019,16,0.285714285714286
AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_3,56,33.73351,-111.80827,America/Phoenix,2019,17,0.303571428571429
AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_4,56,33.7192,-111.81408,America/Phoenix,2019,22,0.392857142857143
AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_5,56,33.71981,-111.80666,America/Phoenix,2019,23,0.410714285714286
AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_6,55,33.71222,-111.78917,America/Phoenix,2019,4,0.0727272727272727
AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_7B,55,33.69861,-111.79361,America/Phoenix,2019,0,0
AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_8,55,33.69278,-111.79083,America/Phoenix,2019,2,0.0363636363636364
AZ_Grassland_Cienega,AZ_Grassland_Cienega_1,80,32.16413,-109.471,America/Phoenix,2019,7,0.0875
AZ_Grassland_Cienega,AZ_Grassland_Cienega_10,75,32.16065,-109.497,America/Phoenix,2019,8,0.106666666666667
AZ_Grassland_Cienega,AZ_Grassland_Cienega_16,81,32.171217,-109.515533,America/Phoenix,2019,8,0.0987654320987654
AZ_Grassland_Cienega,AZ_Grassland_Cienega_17,71,32.180767,-109.517283,America/Phoenix,2019,7,0.0985915492957746
AZ_Grassland_Cienega,AZ_Grassland_Cienega_22,72,32.16578,-109.51025,America/Phoenix,2019,0,0
AZ_Grassland_Cienega,AZ_Grassland_Cienega_25,28,32.15255,-109.5337,America/Phoenix,2019,1,0.0357142857142857
AZ_Grassland_Cienega,AZ_Grassland_Cienega_29,72,32.180233,-109.475633,America/Phoenix,2019,0,0
AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_11,51,35.28934,-111.709,America/Phoenix,2019,0,0
AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_12,47,35.28113,-111.709,America/Phoenix,2019,0,0
AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_13,52,35.27785,-111.7,America/Phoenix,2019,0,0
AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_14,50,35.33744,-111.717,America/Phoenix,2019,0,0
AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_7,50,35.35103,-111.718,America/Phoenix,2019,0,0
AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_8,51,35.36407,-111.717,America/Phoenix,2019,0,0
CA_Forest_Humboldt,CA_Forest_Humboldt_1,22,41.30322,-124.01091,America/Los_Angeles,2019,2,0.0909090909090909
CA_Forest_Humboldt,CA_Forest_Humboldt_10,22,41.28632,-124.0065,America/Los_Angeles,2019,2,0.0909090909090909
CA_Forest_Humboldt,CA_Forest_Humboldt_11,45,41.27639,-124.00436,America/Los_Angeles,2019,4,0.0888888888888889
CA_Forest_Humboldt,CA_Forest_Humboldt_12,49,41.30415,-124.01818,America/Los_Angeles,2019,6,0.122448979591837
CA_Forest_Humboldt,CA_Forest_Humboldt_13,49,41.3026,-124.01615,America/Los_Angeles,2019,5,0.102040816326531
