"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","Site"
"1","233","240","247","254","261","268","275","282","289","296","303","310","315",NA,NA,NA,NA,NA,"AZ_Desert_BC1_dep1_2022"
"2","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP7_dep1_2022"
"3","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP9_dep1_2022"
"4","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_10_2019"
"5","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_1_2019"
"6","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_01_2020"
"7","258","265","272","279","286","293","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_02_2020"
"8","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_03_2020"
"9","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_04_2020"
"10","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_05_2020"
"11","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_06_2020"
"12","258","265","272","279","286","293","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_07_2020"
"13","258","265","272","279","286","293","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_08_2020"
"14","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_10_2020"
"15","258","265","272","279","286","293","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_11_2020"
"16","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_3_2019"
"17","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_4_2019"
"18","241","248","255","262","269","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_5_2019"
"19","276","283","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_6_2019"
"20","249","256","263","270","277","282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_7B_2019"
"21","242","249","256","263","270","277","284","291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_8_2019"
"22","244","251","258","265","272","279","286","293","300","307","312",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Res2_dep1_2022"
"23","259","266","273","280","287","294","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Res5_dep1_2022"
"24","238","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_SB3_dep1_2022"
"25","221","228","235","242","249","256","263","270","277","284","291","298","305","312","319","326","333",NA,"AZ_Desert_Sonoran_22_CONFORTI 08/06/2022_2022"
"26","247","254","261","268","275","282","289","296","303","310","317","323",NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_DEER 09/01/2022_2022"
"27","300","305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_DOVE 10/24/2022_2022"
"28","233","240","247","254","261","268","275","282","289","296","303","310",NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_MALLOW 08/18/2022_2022"
"29","260","267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_Mallow_10-01_2022"
"30","228","235","242","247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_OWL_09-04_2022"
"31","250","257","264","271","278","285","292","299","306","313","318",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_OWL_2022"
"32","285","292","299","306","313","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_RINGTAIL 10/09/2022_2022"
