Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Humans_Per_Camera_Per_Day,Disturbance
CoteauRanch,10CoteauRanch 09/30/2023_2023,2023,47.379809,-100.262186,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,0.152162462472916
CoteauRanch,11CoteauRanch 09/30/2023_2023,2023,47.422735,-100.251013,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,0.175567328929901
OakvillePrairie,11OakvillePrairie 09/17/2023_2023,2023,47.90964,-97.321533,2023-09-17,2023-11-02,46,Grassland,Rural,2,0.0434782608695652,0.177616536617279
CoteauRanch,12CoteauRanch 09/30/2023_2023,2023,47.426957,-100.252871,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,0.175567328929901
CoteauRanch,1CoteauRanch 09/30/2023_2023,2023,47.383805,-100.259701,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,0.152162462472916
CoteauRanch,2CoteauRanch 09/30/2023_2023,2023,47.383719,-100.270405,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,6.9717317856265995e-12
OakvillePrairie,2OakvillePrairie 09/17/2023_2023,2023,47.90956,-97.31054,2023-09-17,2023-11-02,46,Grassland,Rural,2,0.0434782608695652,0.189969539642334
CoteauRanch,3CoteauRanch 09/30/2024_2023,2023,47.378307,-100.270556,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,2.01394581011982e-8
OakvillePrairie,3OakvillePrairie 09/17/2023_2023,2023,47.97356,-97.32027,2023-09-17,2023-11-02,46,Grassland,Rural,2,0.0434782608695652,0.362037658691406
CoteauRanch,4CoteauRanch 09/30/2023_2023,2023,47.42402,-100.25752,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,0.136046260595322
CoteauRanch,5CoteauRanch 09/30/2023_2023,2023,47.40241,-100.277864,2023-09-30,2023-11-03,34,Grassland,Rural,4,0.117647058823529,0.00125157833099365
