Project,Camera_Trap_Array,Site_Name,Deployment_ID,Date_Out,Date_Retrieved,First_Detection,Survey_Days,Latitude,Longitude,Time_Zone,Habitat,Feature_Water,Feature_Road,Feature_Human_Trail,Feature_Human_Structure,Feature_Log_Rock_Outcrop,Vegetation_Ground_Cover,Vegetation_Understory,Vegetation_Canopy,Camera_Height,Resticted_Field,Obstructed_view,Wide
Snapshot USA - 2019,AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_1,d58722,8/30/19,11/2/19,8/31/19,64,59.42643,-136.2225,AKST,riparian,1,0,0,0,0,low,medium,low,1,0,0,0
Snapshot USA - 2019,AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_2,d58723,8/29/19,11/4/19,8/29/19,67,59.39905,-135.9288,AKST,riparian,1,0,0,0,0,medium,medium,low,1,0,0,0
Snapshot USA - 2019,AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_3,d58724,8/29/19,11/3/19,8/29/19,66,59.3802,-135.84097,AKST,riparian,1,0,0,0,0,low,low,low,1,0,0,1
Snapshot USA - 2019,AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_4,d58725,8/27/19,11/3/19,8/27/19,68,59.42641,-136.30461,AKST,riparian,0,0,0,0,0,low,low,low,1,0,0,0
Snapshot USA - 2019,AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_5,d58726,8/27/19,11/3/19,8/27/19,68,59.41195,-136.15141,AKST,grassland,0,0,0,0,0,high,low,low,0,0,0,0
Snapshot USA - 2019,AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_6,d58727,8/16/19,11/3/19,8/18/19,79,59.41492,-136.0754,AKST,forest,0,0,0,0,1,low,high,high,1,0,0,0
Snapshot USA - 2019,AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_7,d58728,8/30/19,11/2/19,8/31/19,64,59.41505,-136.0691,AKST,riparian,1,0,0,0,0,medium,medium,low,1,0,0,0
Snapshot USA - 2019,AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_8,d58729,8/30/19,11/3/19,8/30/19,65,59.41423,-136.06422,AKST,forest,0,0,0,0,0,low,medium,medium,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_1,d62394,10/12/19,11/6/19,10/12/19,25,32.66049,-85.4881,CST,forest,0,0,0,0,0,low,medium,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_10,d62403,10/13/19,11/6/19,10/13/19,24,32.66487,-85.48588,CST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_12,d62405,10/13/19,11/2/19,10/13/19,20,32.6644,-85.48485,CST,forest,0,0,0,0,0,medium,high,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_13,d62406,10/13/19,11/6/19,10/13/19,24,32.66379,-85.48567,CST,forest,0,0,0,0,0,medium,high,medium,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_14,d62407,10/13/19,11/6/19,10/13/19,24,32.66455,-85.4863,CST,forest,0,0,0,0,0,medium,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_15,d62408,10/13/19,11/6/19,10/14/19,24,32.66385,-85.48677,CST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_16,d62409,10/13/19,11/6/19,10/13/19,24,32.66366,-85.48525,CST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_17,d62410,10/13/19,11/6/19,10/13/19,24,32.66363,-85.48324,CST,forest,0,0,0,0,0,low,medium,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_18,d62411,10/13/19,11/6/19,10/13/19,24,32.66131,-85.48274,CST,forest,0,0,0,0,0,low,medium,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_19,d62412,10/14/19,11/4/19,10/14/19,21,32.66335,-85.48654,CST,forest,0,0,0,0,0,high,medium,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_2,d62395,10/12/19,11/6/19,10/12/19,25,32.66125,-85.48711,CST,forest,0,0,0,0,0,high,medium,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_20,d62413,10/14/19,11/6/19,10/17/19,23,32.66298,-85.48557,CST,forest,0,0,0,0,0,medium,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_21,d62414,10/14/19,11/6/19,10/14/19,23,32.66153,-85.48549,CST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_22,d62415,10/14/19,11/6/19,10/15/19,23,32.66104,-85.48479,CST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_23,d62416,10/14/19,11/6/19,10/17/19,23,32.66043,-85.48366,CST,forest,0,0,0,0,0,high,medium,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_24,d62417,10/14/19,11/6/19,10/14/19,23,32.65973,-85.48338,CST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_25,d62418,10/14/19,11/5/19,10/14/19,22,32.65897,-85.4828,CST,forest,0,0,0,0,1,low,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_26,d62419,10/14/19,11/6/19,10/14/19,23,32.65876,-85.4836,CST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_27,d62420,10/14/19,11/6/19,10/15/19,23,32.6596,-85.48561,CST,forest,0,0,0,0,0,medium,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_3,d62396,10/12/19,11/6/19,10/14/19,25,32.66182,-85.48709,CST,forest,0,0,0,0,0,low,medium,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_4,d62397,10/12/19,11/6/19,10/13/19,25,32.66249,-85.48768,CST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_5,d62398,10/12/19,11/6/19,10/13/19,25,32.66294,-85.48788,CST,forest,0,0,0,0,0,low,medium,high,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_6,d62399,10/12/19,11/6/19,10/12/19,25,32.66269,-85.48874,CST,forest,0,0,0,0,0,low,medium,medium,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_7,d62400,10/12/19,11/6/19,10/12/19,25,32.66381,-85.48851,CST,forest,0,0,0,0,0,low,medium,medium,1,0,0,0
Snapshot USA - 2019,AL_Forest_Auburn,AL_Forest_Auburn_8,d62401,10/12/19,11/6/19,10/13/19,25,32.66496,-85.48828,CST,forest,0,0,0,0,0,high,low,medium,1,0,0,0
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_1,d57135,9/13/19,10/28/19,9/13/19,45,36.06512,-94.23357,CST,grassland,0,0,0,0,0,high,low,low,0,0,1,0
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_10,d57144,9/13/19,10/29/19,9/13/19,46,36.06722,-94.23393,CST,grassland,0,0,0,1,0,high,low,low,1,0,0,0
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_11,d57145,9/13/19,9/21/19,9/13/19,8,36.06946,-94.2387,CST,grassland,0,0,0,1,0,high,low,0,1,0,0,0
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_12,d57146,9/13/19,10/29/19,9/13/19,46,36.06951,-94.23688,CST,grassland,0,0,0,0,0,high,medium,0,0,0,1,0
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_3,d57137,9/13/19,10/29/19,9/13/19,46,36.06882,-94.23449,CST,grassland,0,0,0,0,0,high,medium,low,0,0,1,0
