Camera_Trap_Array,Site_Name,Deployment_ID,Date_Out,Date_Retrieved,Survey_Days,Latitude,Longitude,Time_Zone,Development,detection_distance,Feature_Water,Feature_Road,Feature_Human_Trail,human_pics_removed,deployment_notes
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_01,d68315,2020-08-26,2020-11-28,94,59.42643,-136.22251,AKST,Wild,10,0,0,0,n,"Not sure what the default Camera Id (H500HJ10266642) means. 
Camera Id that I use is CamB1.
Lat /long and det distance is accurate"
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_02,d68316,2020-08-27,2020-11-04,69,59.39905,-135.92881,AKST,Wild,5,0,0,0,n,"25 Mile Confluence.
Was CAMB2 in 2019"
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_03,d68317,2020-08-27,2020-11-03,68,59.3802,-135.84097,AKST,Wild,15,0,0,0,n,19 Mile
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_04,d68318,2020-09-26,2020-10-30,34,59.42641,-136.3046,AKST,Wild,15,0,0,0,n,Delayed pickup due to weather
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_05,d68319,2020-08-26,2020-10-24,59.4,59.41194,-136.15142,AKST,Wild,7,0,0,0,n,Delayed pickup due to weather
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_06,d68320,2020-08-27,2020-11-05,70,59.41492,-136.07539,AKST,Wild,10,0,0,0,n,"West Herman
Camera set  8/27/20 at 19:00"
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_08,d68322,2020-08-27,2020-11-05,70,59.41423,-136.06423,AKST,Wild,10,0,0,0,n,Herman Trail
AL_Forest_Auburn_20,AL_Forest_Auburn_20_02,d68289,2020-10-11,2020-11-25,45,32.6612,-85.48712,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_04,d68291,2020-10-11,2020-11-22,42,32.66264,-85.48766,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_05,d68292,2020-10-11,2020-11-24,44,32.66302,-85.48793,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_07,d68294,2020-10-11,2020-11-25,45,32.66389,-85.48844,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_14,d68301,2020-10-12,2020-11-25,44,32.66447,-85.48639,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_15,d68302,2020-10-13,2020-11-24,42,32.66437,-85.48717,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_16,d68303,2020-10-13,2020-11-25,43,32.65922,-85.48719,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_17,d68304,2020-10-13,2020-11-25,43,32.66358,-85.48308,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_18,d68305,2020-10-13,2020-11-25,43,32.66138,-85.48267,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_19,d68306,2020-10-13,2020-10-26,13,32.66363,-85.4863,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_24,d68311,2020-10-17,2020-11-16,30,32.65977,-85.48338,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_25,d68312,2020-10-13,2020-11-24,42,32.65896,-85.48269,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_26,d68313,2020-10-13,2020-11-24,42,32.65877,-85.48349,CST,Suburban,15,0,0,0,n, 
AL_Forest_Auburn_20,AL_Forest_Auburn_20_27,d68314,2020-10-13,2020-11-24,42,32.65902,-85.48579,CST,Suburban,15,0,0,0,n, 
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_01,d68859,2020-09-16,2020-10-22,36,33.81093,-93.78539,CST,Wild,15,0,0,0,n, 
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_02,d68860,2020-09-16,2020-10-22,36,33.80792,-93.78587,CST,Wild,15,0,0,0,n, 
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_03,d68861,2020-09-16,2020-10-22,36,33.81287,-93.78557,CST,Wild,15,0,0,0,n, 
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_04,d68862,2020-09-16,2020-10-22,36,33.8152,-93.78719,CST,Wild,15,0,0,0,n, 
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_05,d68863,2020-09-16,2020-10-22,36,33.81657,-93.79562,CST,Wild,15,0,0,0,n, 
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_06,d68864,2020-09-16,2020-10-22,36,33.81376,-93.79562,CST,Wild,15,0,0,0,n, 
