Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Days,Humans_Per_Camera_Per_Day
Afognak,AK_Forest_Afognak_22_C22-05_2022,2022,58.2401,-152.2167,2022-08-31,2022-10-04,34,0.264705882352941
Afognak,AK_Forest_Afognak_22_C22-10_2022,2022,58.258,-152.2169,2022-08-31,2022-10-04,34,0.441176470588235
Afognak,AK_Forest_Afognak_22_C22-15 08/31/2022_2022,2022,58.2669,-152.2023,2022-08-31,2022-10-04,34,0.235294117647059
Afognak,AK_Forest_Afognak_22_C22-16_2022,2022,58.2763,-152.2712,2022-08-30,2022-10-04,35,0.114285714285714
Afognak,AK_Forest_Afognak_22_C22-18 08/31/2022_2022,2022,58.2762,-152.2381,2022-08-31,2022-10-04,34,0.911764705882353
Afognak,AK_Forest_Afognak_22_C22-21 08/30/2022_2022,2022,58.2862,-152.2891,2022-08-30,2022-10-04,35,0.0857142857142857
Afognak,AK_Forest_Afognak_22_C22-27 08/30/2022_2022,2022,58.2943,-152.3045,2022-08-30,2022-10-04,35,0.114285714285714
Afognak,AK_Forest_Afognak_22_C22-51 08/30/2022_2022,2022,58.3411,-152.3538,2022-08-30,2022-10-04,35,1.71428571428571
Afognak,AK_Forest_Afognak_22_C22-57 09/01/2022_2022,2022,58.2931,-152.3575,2022-09-01,2022-10-04,33,0.0909090909090909
Afognak,AK_Forest_Afognak_22_C22-59 09/01/2022_2022,2022,58.2845,-152.3779,2022-09-01,2022-10-04,33,0.242424242424242
Afognak,AK_Forest_Afognak_22_C22-60 09/01/2022_2022,2022,58.2852,-152.3592,2022-09-01,2022-10-04,33,0.181818181818182
Afognak,AK_Forest_Afognak_22_W-25 09/01/2022_2022,2022,58.3213,-152.3209,2022-09-01,2022-10-03,32,0.21875
Afognak,AK_Forest_Afognak_22_W-9 09/01/2022_2022,2022,58.3285,-152.3278,2022-09-01,2022-10-03,32,0.21875
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_1_2019,2019,59.42643,-136.2225,2019-08-30,2019-11-02,64,0
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_01_2020,2020,59.42643,-136.22251,2020-08-26,2020-11-28,94,0.0212765957446809
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_02_2020,2020,59.39905,-135.92881,2020-08-27,2020-11-04,69,0.0289855072463768
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_03_2020,2020,59.3802,-135.84097,2020-08-27,2020-11-03,68,0.132352941176471
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_04_2020,2020,59.42641,-136.3046,2020-09-26,2020-10-30,34,0.0882352941176471
