"","Array","Site_Name","Year","Latitude","Longitude","Start_Date","End_Date","Survey_Days","Humans_Per_Camera_Per_Day"
"218","Tucson","AZ_Desert_BC1_dep1_2022",2022,32.3034,-110.8032,"2022-08-18","2022-11-12",86,0.697674418604651
"219","Tucson","AZ_Desert_LP7_dep1_2022",2022,32.1865,-110.8013,"2022-09-11","2022-10-27",46,0.0869565217391304
"220","Tucson","AZ_Desert_LP9_dep1_2022",2022,32.1752,-110.7831,"2022-09-11","2022-10-27",46,0.0217391304347826
"221","AZ_Desert_McDowell_Sonoran_Preserve","AZ_Desert_McDowell_Sonoran_Preserve_10_2019",2019,33.74075,-111.80756,"2019-08-26","2019-10-21",56,0.285714285714286
"222","AZ_Desert_McDowell_Sonoran_Preserve","AZ_Desert_McDowell_Sonoran_Preserve_1_2019",2019,33.74051,-111.8153,"2019-08-26","2019-10-21",56,0.125
"223","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_01_2020",2020,33.73354,-111.81382,"2020-09-10","2020-10-26",46,0.239130434782609
"224","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_02_2020",2020,33.6997,-111.79261,"2020-09-11","2020-10-26",45,0.0888888888888889
"225","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_03_2020",2020,33.73341,-111.8083,"2020-09-10","2020-10-26",46,0.195652173913043
"226","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_04_2020",2020,33.72556,-111.81516,"2020-09-10","2020-10-26",46,0.0869565217391304
"227","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_05_2020",2020,33.72388,-111.80848,"2020-09-10","2020-10-26",46,0.0869565217391304
"228","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_06_2020",2020,33.71826,-111.81207,"2020-09-10","2020-10-26",46,0.130434782608696
"229","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_07_2020",2020,33.69793,-111.78978,"2020-09-11","2020-10-27",46,0.152173913043478
"230","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_08_2020",2020,33.69004,-111.80097,"2020-09-11","2020-10-27",46,0.108695652173913
"231","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_10_2020",2020,33.71574,-111.78957,"2020-09-10","2020-10-21",41,0.121951219512195
"232","AZ_Desert_McDowell_Sonoran_Preserve_20","AZ_Desert_McDowell_Sonoran_Preserve_20_11_2020",2020,33.6969,-111.80902,"2020-09-11","2020-10-27",46,0.152173913043478
"233","AZ_Desert_McDowell_Sonoran_Preserve","AZ_Desert_McDowell_Sonoran_Preserve_3_2019",2019,33.73351,-111.80827,"2019-08-26","2019-10-21",56,0.303571428571429
"234","AZ_Desert_McDowell_Sonoran_Preserve","AZ_Desert_McDowell_Sonoran_Preserve_4_2019",2019,33.7192,-111.81408,"2019-08-26","2019-10-21",56,0.392857142857143
"235","AZ_Desert_McDowell_Sonoran_Preserve","AZ_Desert_McDowell_Sonoran_Preserve_5_2019",2019,33.71981,-111.80666,"2019-08-26","2019-10-21",56,0.410714285714286
"236","AZ_Desert_McDowell_Sonoran_Preserve","AZ_Desert_McDowell_Sonoran_Preserve_6_2019",2019,33.71222,-111.78917,"2019-08-27","2019-10-21",55,0.0727272727272727
"237","AZ_Desert_McDowell_Sonoran_Preserve","AZ_Desert_McDowell_Sonoran_Preserve_7B_2019",2019,33.69861,-111.79361,"2019-08-27","2019-10-21",55,0
"238","AZ_Desert_McDowell_Sonoran_Preserve","AZ_Desert_McDowell_Sonoran_Preserve_8_2019",2019,33.69278,-111.79083,"2019-08-27","2019-10-21",55,0.0363636363636364
"239","Tucson","AZ_Desert_Res2_dep1_2022",2022,32.2156,-110.8888,"2022-08-29","2022-11-08",71,0.197183098591549
"240","Tucson","AZ_Desert_Res5_dep1_2022",2022,32.2244,-110.8808,"2022-09-13","2022-10-27",44,0.659090909090909
"241","Tucson","AZ_Desert_SB3_dep1_2022",2022,32.2602,-110.8226,"2022-08-23","2022-11-08",77,0.0649350649350649
"242","Sonoran","AZ_Desert_Sonoran_22_CONFORTI 08/06/2022_2022",2022,32.4572,-110.9317,"2022-08-06","2022-12-03",119,0.0168067226890756
"243","Sonoran","AZ_Desert_Sonoran_22_DEER 09/01/2022_2022",2022,32.4662,-110.9379,"2022-09-01","2022-11-20",80,0.1125
"244","Sonoran","AZ_Desert_Sonoran_22_DOVE 10/24/2022_2022",2022,32.4382,-110.9289,"2022-10-24","2022-11-02",9,0.222222222222222
"245","Sonoran","AZ_Desert_Sonoran_22_MALLOW 08/18/2022_2022",2022,32.4175,-110.924,"2022-08-18","2022-11-10",84,0.452380952380952
"246","Sonoran","AZ_Desert_Sonoran_22_Mallow_10-01_2022",2022,32.4175,-110.924,"2022-09-14","2022-10-01",17,0.176470588235294
"247","Sonoran","AZ_Desert_Sonoran_22_OWL_09-04_2022",2022,32.4487,-110.942,"2022-08-13","2022-09-04",22,0.0909090909090909
"248","Sonoran","AZ_Desert_Sonoran_22_OWL_2022",2022,32.4487,-110.942,"2022-09-01","2022-11-14",74,0.0135135135135135
"249","Sonoran","AZ_Desert_Sonoran_22_RINGTAIL 10/09/2022_2022",2022,32.4568,-110.9204,"2022-10-09","2022-11-20",42,0.0238095238095238
"250","Sonoran","AZ_Desert_Sonoran_22_SNIBBY 10/03/2022_2022",2022,32.4358,-110.9168,"2022-10-03","2022-11-09",37,0.0540540540540541
"251","Sonoran","AZ_Desert_Sonoran_22_THRASHER_2022",2022,32.4417,-110.9469,"2022-10-28","2022-12-02",35,0.0571428571428571
"252","Sonoran","AZ_Desert_Sonoran_22_TOAD_2022",2022,32.4559,-110.9294,"2022-08-18","2022-10-08",51,0.0392156862745098
"253","Sonoran","AZ_Desert_Sonoran_22_VIEW_2022",2022,32.4534,-110.93,"2022-10-08","2022-10-24",16,0.0625
"254","Tucson","AZ_Desert_TV5_dep1_2022",2022,32.2485,-110.7967,"2022-08-23","2022-11-08",77,0.038961038961039
"255","Tucson","AZ_Desert_Tucson_AC2_dep1_2022",2022,32.2828,-110.7393,"2022-09-07","2022-11-12",66,0.575757575757576
"256","Tucson","AZ_Desert_Tucson_AC3_depl1_2022",2022,32.2669,-110.7507,"2022-09-07","2022-10-31",54,0.0925925925925926
