"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","Site"
"1","7","7","7","7","7","7","7","7","7","7","7","7","3",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_BC1_dep1_2022"
"2","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP7_dep1_2022"
"3","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP9_dep1_2022"
"4","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_10_2019"
"5","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_1_2019"
"6","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_01_2020"
"7","7","7","7","7","7","7","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_02_2020"
"8","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_03_2020"
"9","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_04_2020"
"10","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_05_2020"
"11","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_06_2020"
"12","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_07_2020"
"13","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_08_2020"
"14","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_10_2020"
"15","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_11_2020"
"16","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_3_2019"
"17","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_4_2019"
"18","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_5_2019"
"19","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_6_2019"
