"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","Site"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"AZ_Desert_BC1_dep1_2022"
"2","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP7_dep1_2022"
"3","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_10_2019"
"4","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_1_2019"
"5","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_01_2020"
"6","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_02_2020"
"7","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_03_2020"
"8","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_04_2020"
"9","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_05_2020"
"10","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_06_2020"
"11","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_07_2020"
"12","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_08_2020"
"13","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_10_2020"
"14","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_11_2020"
"15","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_3_2019"
"16","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_4_2019"
"17","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_5_2019"
"18","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_6_2019"
"19","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Desert_Res2_dep1_2022"
"20","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Res5_dep1_2022"
"21","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Desert_SB3_dep1_2022"
"22","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"AZ_Desert_Sonoran_22_DEER 09/01/2022_2022"
"23","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_DOVE 10/24/2022_2022"
"24","1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"AZ_Desert_Sonoran_22_MALLOW 08/18/2022_2022"
"25","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_Mallow_10-01_2022"
"26","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_OWL_09-04_2022"
"27","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_SNIBBY 10/03/2022_2022"
"28","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_THRASHER_2022"
"29","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_DAVID_09-23-2023_2023"
"30","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_DEER_11-11-2023_2023"
"31","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"AZ_Desert_Sonoran_23_DOVE_10-29-2023_2023"
"32","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"AZ_Desert_Tucson_AC2_dep1_2022"
"33","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"AZ_Desert_Tucson_AC3_depl1_2022"
"34","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_Tucson_AC4_dep1_2022"
"35","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Desert_Tucson_Res3_dep1_2022"
"36","1","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1001_20220718_2022"
"37","0","1","1","0","1","1","1","1",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_10_2023"
"38","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_11_2023"
"39","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_12_2023"
"40","1","1","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_13_2023"
"41","0","0","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_15_2023"
"42","1","0","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_16_2023"
"43","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_17_2023"
"44","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_18_2023"
"45","1","1","1","0","0","0","1","1",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_19_2023"
"46","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc1 09/09/2023_2023"
"47","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc2 09/09/2023_2023"
"48","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc3_REAL 09/09/2023_2023"
"49","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc4 09/09/2023_2023"
"50","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc5 09/09/2023_2023"
"51","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc6 09/09/2023_2023"
"52","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc7 09/09/2023_2023"
"53","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc8 09/09/2023_2023"
"54","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc9_09.30.23_2023"
"55","0","1","0","0","1","1","0","1","0","0","0",NA,NA,NA,"AZ_Grassland_Cienega_10_2019"
"56","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AZ_Grassland_Cienega_16_2019"
"57","0","0","0","0","0","0","0","0","0","1",NA,NA,NA,NA,"AZ_Grassland_Cienega_17_2019"
"58","0","1","0","0","0","1","1","0","0","0","0",NA,NA,NA,"AZ_Grassland_Cienega_1_2019"
"59","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_1_2023"
"60","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_2_2023"
"61","1","1","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_3_2023"
"62","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_4_2023"
"63","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_5_2023"
"64","0","1","0","0","1","0","0","1",NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_8_2023"
"65","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_9_2023"
"66","0","0","0","0","0","0","0","1","0","0",NA,NA,NA,NA,"BAC.AROW_Rec007_Mem088.20190831_2019"
"67","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"BAC.AROW_Rec054_Mem014.20190831_2019"
"68","1","0","0","0","1","1","0","0","0","0",NA,NA,NA,NA,"BAC.AROW_Rec055_Mem045.20190901_2019"
"69","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,"BAC.BLCH_Rec016_Mem078.20190819_2019"
"70","0","1","0","1","1","1","1","1","1","1",NA,NA,NA,NA,"BAC.BLCH_Rec037_Mem041.20190819_2019"
"71","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"BAC.HMSA_Rec009_Mem102.20190830_2019"
"72","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec062_Mem051.20190831_2019"
"73","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro001_Mem117.20190729_2019"
"74","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro002_Mem186.20191012_2019"
"75","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro024_Mem174.20191012_2019"
"76","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro026_Mem139.20191012_2019"
"77","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro039_Mem189.20190718_2019"
"78","1","1","1","1","1","1","1","1","1","1","1","1","1","1","BAC.MSLA_Bro046_Mem150.20190820_2019"
"79","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,"BAC.MSLA_Bro052_Mem147.20190910_2019"
"80","0","0","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro055_Mem187.20190818_2019"
"81","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro067_Mem159.20191006_2019"
"82","0","0","0","0","1","1","0","0","0","0",NA,NA,NA,NA,"BAC.TRMR_Bro033_Mem172.20190830_2019"
"83","1","1","1","1","1","0","0","1","1","0",NA,NA,NA,NA,"BAC.TRMR_Bro040_Mem217.20190830_2019"
"84","0","0","0","1","0","0","0","1","0","1",NA,NA,NA,NA,"BAC.TRMR_Bro043_Mem148.20190830_2019"
"85","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec001_Mem037.20200831_2020"
"86","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"BAC.TRMR_Rec001_Mem174.20210530_2021"
"87","1","0","0","1","0","1","0","0","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec002_Mem049.20200901_2020"
"88","0","0","0","0","0","1","0","1","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec010_Mem073.20200831_2020"
"89","1","1","1","1","1","1","0","0","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec017_Mem098.20200831_2020"
"90","0","1","1","1","1","1","1","0","1",NA,NA,NA,NA,NA,"BAC.TRMR_Rec018_Mem030.20200831_2020"
"91","1","1","0","1","1","1","1","1","1",NA,NA,NA,NA,NA,"BAC.TRMR_Rec027_Mem110.20200831_2020"
"92","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec037_Mem087.20200901_2020"
"93","1","0","0","0","0","0","0","1","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec039_Mem094.20200831_2020"
"94","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec040_Mem151.20210529_2021"
"95","0","0","0","1","0","0","0","0","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec042_Mem088.20200901_2020"
"96","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec046_Mem107.20200901_2020"
"97","1","1","1","1","0","1","1","0","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec048_Mem093.20200831_2020"
"98","0","0","0","1","0","0","0","0","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec052_Mem038.20200901_2020"
"99","0","1","1","0","1","0","0","0","0",NA,NA,NA,NA,NA,"BAC.TRMR_Rec060_Mem083.20200901_2020"
"100","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_01_2021"
"101","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_01_USE_2021"
"102","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_02_USE_2021"
"103","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_03_USE_2021"
"104","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_05_USE_2021"
"105","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_06_USE_2021"
"106","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_08_2021"
"107","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_10_2021"
"108","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_1_2019"
"109","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_4_2019"
"110","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_5_2019"
"111","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_6_2019"
"112","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_1_2019"
"113","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_2_2019"
"114","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_4_2019"
"115","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_5_2019"
"116","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_6_2019"
"117","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_7_2019"
"118","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_8_2019"
"119","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_9_2019"
"120","0","0","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_04_01_2022"
"121","0","1","1","0","0","0","0","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_07_01_2022"
"122","1","0","0","0","1","0","0","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_09_01_2022"
"123","0","0","0","1","1","1","1","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_11_01_2022"
"124","1","0","1","0","1","1","1","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_15_01_2022"
"125","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_17_01_2022"
