"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","Site"
"1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP9_dep1_2022"
"2","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_7B_2019"
"3","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_8_2019"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","AZ_Desert_Sonoran_22_CONFORTI 08/06/2022_2022"
"5","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_OWL_2022"
"6","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_RINGTAIL 10/09/2022_2022"
"7","0","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_TOAD_2022"
"8","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_VIEW_2022"
"9","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_LION_10-29-2023_2023"
"10","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_OWL_10-31-2023_2023"
"11","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Desert_TV5_dep1_2022"
"12","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"AZ_Desert_UT3_2022"
"13","1","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1002_20220718_2022"
"14","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1003_20220718_2022"
"15","1","1","1","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1004_20220718_2022"
"16","1","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1005_20220718_2022"
"17","0","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1006_20220718_2022"
"18","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1007_20220718_2022"
"19","1","1","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1008_20220718_2022"
"20","1","1","1","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1101_20220722_2022"
"21","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1101_20220926_2022"
"22","0","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1102_20220722_2022"
"23","1","1","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1102_20220926_2022"
"24","1","1","1","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1103_20220722_2022"
"25","1","0","1","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1103_20220926_2022"
"26","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1104_20220722_2022"
"27","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1104_20220926_2022"
"28","0","0","0","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1105_20220926_2022"
"29","1","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1106_20220926_2022"
"30","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1107_20220926_2022"
"31","1","1","0","1","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1108_20220926_2022"
"32","1","0","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1001_20220913_2022"
"33","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1002_20220913_2022"
"34","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1003_20220913_2022"
"35","1","0","1","1","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1004_20220913_2022"
"36","0","0","1","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1005_20220913_2022"
"37","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1006_20220913_2022"
"38","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1007_20220913_2022"
"39","1","0","0","0","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1008_20220913_2022"
"40","1","1","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_14_2023"
"41","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100320230717_2023"
"42","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100320230912_2023"
"43","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100420230717_2023"
"44","0","0","0","0","0","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100420230912_2023"
"45","1","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100520230717_2023"
"46","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100520230912_2023"
"47","1","0","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100620230717_2023"
"48","1","0","0","1","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100620230912_2023"
"49","1","1","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100720230717_2023"
"50","0","1","1","1","1","1","0","0","0","1","0",NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100720230912_2023"
"51","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100820230717_2023"
"52","1","1","0","0","1","0","0","1","1","1","0",NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100820230912_2023"
"53","1","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110120230831_2023"
"54","1","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110420230831_2023"
"55","0","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110520230831_2023"
"56","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110620230831_2023"
