"","Array","Site_Name","Year","Latitude","Longitude","Start_Date","End_Date","Survey_Nights","Habitat","Development_Level","Humans_Per_Camera","Humans_Per_Camera_Per_Day","Disturbance"
"260","Tucson","AZ_Desert_BC1_dep1_2022",2022,32.303397,-110.803233,"2022-08-18","2022-11-12",86,"Desert","Suburban",60,0.697674418604651,0.720150470733643
"261","Tucson","AZ_Desert_LP7_dep1_2022",2022,32.1865,-110.801335,"2022-09-11","2022-10-27",46,"Desert","Suburban",4,0.0869565217391304,0.750368237495422
"262","Tucson","AZ_Desert_LP9_dep1_2022",2022,32.17523,-110.78306,"2022-09-11","2022-10-27",46,"Desert","Suburban",1,0.0217391304347826,0.72234445810318
"263","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_10_2019",2019,33.74075,-111.80756,"2019-08-26","2019-10-21",56,"Desert","Rural",16,0.285714285714286,0.550867795944214
"264","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_1_2019",2019,33.74051,-111.8153,"2019-08-26","2019-10-21",56,"Desert","Rural",7,0.125,0.567887842655182
"265","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_01_2020",2020,33.73354,-111.81382,"2020-09-10","2020-10-26",46,"Desert","Rural",11,0.239130434782609,0.645071983337402
"266","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_02_2020",2020,33.6997,-111.79261,"2020-09-11","2020-10-26",45,"Desert","Rural",4,0.0888888888888889,0.143442541360855
"267","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_03_2020",2020,33.73341,-111.8083,"2020-09-10","2020-10-26",46,"Desert","Rural",9,0.195652173913043,0.549572587013245
"268","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_04_2020",2020,33.72556,-111.81516,"2020-09-10","2020-10-26",46,"Desert","Rural",4,0.0869565217391304,0.689808130264282
"269","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_05_2020",2020,33.72388,-111.80848,"2020-09-10","2020-10-26",46,"Desert","Rural",4,0.0869565217391304,0.483727514743805
"270","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_06_2020",2020,33.71826,-111.81207,"2020-09-10","2020-10-26",46,"Desert","Rural",6,0.130434782608696,0.689808130264282
"271","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_07_2020",2020,33.69793,-111.78978,"2020-09-11","2020-10-27",46,"Desert","Rural",7,0.152173913043478,0.143442541360855
"272","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_08_2020",2020,33.69004,-111.80097,"2020-09-11","2020-10-27",46,"Desert","Rural",5,0.108695652173913,0.599783658981323
"273","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_10_2020",2020,33.71574,-111.78957,"2020-09-10","2020-10-21",41,"Desert","Rural",5,0.121951219512195,0.128575533628464
"274","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_20_11_2020",2020,33.6969,-111.80902,"2020-09-11","2020-10-27",46,"Desert","Rural",7,0.152173913043478,0.599783658981323
"275","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_3_2019",2019,33.73351,-111.80827,"2019-08-26","2019-10-21",56,"Desert","Rural",17,0.303571428571429,0.549572587013245
"276","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_4_2019",2019,33.7192,-111.81408,"2019-08-26","2019-10-21",56,"Desert","Rural",22,0.392857142857143,0.689808130264282
"277","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_5_2019",2019,33.71981,-111.80666,"2019-08-26","2019-10-21",56,"Desert","Rural",23,0.410714285714286,0.483727514743805
"278","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_6_2019",2019,33.71222,-111.78917,"2019-09-30","2019-10-21",21,"Desert","Rural",4,0.19047619047619,0.128575533628464
"279","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_7B_2019",2019,33.69861,-111.79361,"2019-09-03","2019-10-10",37,"Desert","Rural",0,0,0.143442541360855
"280","McDowell","AZ_Desert_McDowell_Sonoran_Preserve_8_2019",2019,33.69278,-111.79083,"2019-08-27","2019-10-21",55,"Desert","Rural",2,0.0363636363636364,0.131505995988846
"281","Tucson","AZ_Desert_Res2_dep1_2022",2022,32.21555,-110.88875,"2022-08-29","2022-11-08",71,"Desert","Suburban",14,0.197183098591549,0.796190738677979
"282","Tucson","AZ_Desert_Res5_dep1_2022",2022,32.224438,-110.880844,"2022-09-13","2022-10-27",44,"Desert","Suburban",29,0.659090909090909,0.791207194328308
"283","Tucson","AZ_Desert_SB3_dep1_2022",2022,32.260218,-110.822554,"2022-08-23","2022-11-08",77,"Desert","Suburban",5,0.0649350649350649,0.821624040603638
"284","Sonoran","AZ_Desert_Sonoran_22_CONFORTI 08/06/2022_2022",2022,32.45722,-110.93167,"2022-08-06","2022-12-03",119,"Desert","Suburban",2,0.0168067226890756,0.827740788459778
"285","Sonoran","AZ_Desert_Sonoran_22_DEER 09/01/2022_2022",2022,32.46622,-110.93786,"2022-09-01","2022-11-20",80,"Desert","Suburban",9,0.1125,0.798527956008911
"286","Sonoran","AZ_Desert_Sonoran_22_DOVE 10/24/2022_2022",2022,32.43822,-110.92892,"2022-10-24","2022-11-02",9,"Desert","Suburban",2,0.222222222222222,0.289786994457245
"287","Sonoran","AZ_Desert_Sonoran_22_MALLOW 08/18/2022_2022",2022,32.41753,-110.92402,"2022-08-18","2022-11-10",84,"Desert","Suburban",38,0.452380952380952,0.595495104789734
"288","Sonoran","AZ_Desert_Sonoran_22_Mallow_10-01_2022",2022,32.41753,-110.92402,"2022-09-14","2022-09-28",14,"Desert","Suburban",3,0.214285714285714,0.595495104789734
"289","Sonoran","AZ_Desert_Sonoran_22_OWL_09-04_2022",2022,32.44865,-110.94195,"2022-08-13","2022-09-04",22,"Desert","Suburban",2,0.0909090909090909,0.755228519439697
"290","Sonoran","AZ_Desert_Sonoran_22_OWL_2022",2022,32.44865,-110.94195,"2022-09-04","2022-11-14",71,"Desert","Suburban",1,0.0140845070422535,0.755228519439697
"291","Sonoran","AZ_Desert_Sonoran_22_RINGTAIL 10/09/2022_2022",2022,32.45684,-110.92036,"2022-10-09","2022-11-20",42,"Desert","Suburban",1,0.0238095238095238,0.722190201282501
"292","Sonoran","AZ_Desert_Sonoran_22_SNIBBY 10/03/2022_2022",2022,32.43584,-110.91683,"2022-10-03","2022-11-09",37,"Desert","Suburban",2,0.0540540540540541,0.369163632392883
"293","Sonoran","AZ_Desert_Sonoran_22_THRASHER_2022",2022,32.44166,-110.94694,"2022-10-28","2022-12-02",35,"Desert","Suburban",2,0.0571428571428571,0.755228519439697
"294","Sonoran","AZ_Desert_Sonoran_22_TOAD_2022",2022,32.45587,-110.92937,"2022-08-02","2022-10-08",67,"Desert","Suburban",2,0.0298507462686567,0.827740788459778
"295","Sonoran","AZ_Desert_Sonoran_22_VIEW_2022",2022,32.45335,-110.93004,"2022-08-02","2022-08-24",22,"Desert","Suburban",1,0.0454545454545455,0.827740788459778
"296","Sonoran","AZ_Desert_Sonoran_23_DAVID_09-23-2023_2023",2023,32.44991,-110.92865,"2023-08-27","2023-09-23",27,"Desert","Suburban",2,0.0740740740740741,0.526770174503326
"297","Sonoran","AZ_Desert_Sonoran_23_DEER_11-11-2023_2023",2023,32.46622,-110.93786,"2023-09-16","2023-11-11",56,"Desert","Suburban",8,0.142857142857143,0.798527956008911
"298","Sonoran","AZ_Desert_Sonoran_23_DOVE_10-29-2023_2023",2023,32.43822,-110.92892,"2023-08-20","2023-10-29",70,"Desert","Suburban",11,0.157142857142857,0.289786994457245
"299","Sonoran","AZ_Desert_Sonoran_23_LION_10-29-2023_2023",2023,32.43594,-110.94627,"2023-09-16","2023-10-29",43,"Desert","Suburban",2,0.0465116279069767,0.76606011390686
"300","Sonoran","AZ_Desert_Sonoran_23_OWL_10-31-2023_2023",2023,32.44865,-110.94195,"2023-08-21","2023-10-31",71,"Desert","Suburban",1,0.0140845070422535,0.755228519439697
"301","Tucson","AZ_Desert_TV5_dep1_2022",2022,32.248543,-110.796723,"2022-08-23","2022-11-08",77,"Desert","Suburban",3,0.038961038961039,0.780706226825714
"302","Tucson","AZ_Desert_Tucson_AC2_dep1_2022",2022,32.282793,-110.739291,"2022-09-07","2022-11-12",66,"Desert","Suburban",38,0.575757575757576,0.668532311916351
"303","Tucson","AZ_Desert_Tucson_AC3_depl1_2022",2022,32.266866,-110.750661,"2022-09-07","2022-11-12",66,"Desert","Suburban",5,0.0757575757575758,0.719182252883911
"304","Tucson","AZ_Desert_Tucson_AC4_dep1_2022",2022,32.256277,-110.762075,"2022-09-07","2022-10-31",54,"Desert","Suburban",5,0.0925925925925926,0.773406505584717
"305","Tucson","AZ_Desert_Tucson_Res3_dep1_2022",2022,32.277661,-110.866838,"2022-09-13","2022-11-23",71,"Desert","Suburban",116,1.63380281690141,0.775590419769287
"306","Tucson","AZ_Desert_UT3_2022",2022,32.242993,-110.749996,"2022-08-30","2022-11-17",79,"Desert","Suburban",3,0.0379746835443038,0.706193804740906
"307","Harrity","AZ_Forest_1001_20220718_2022",2022,31.35955,-110.78466,"2022-08-06","2022-09-13",38,"Forest","Wild",2,0.0526315789473684,0.252568155527115
"308","Harrity","AZ_Forest_1002_20220718_2022",2022,31.35977,-110.76364,"2022-08-02","2022-09-13",42,"Forest","Wild",1,0.0238095238095238,0.214390933513641
"309","Harrity","AZ_Forest_1003_20220718_2022",2022,31.359933,-110.74257,"2022-08-01","2022-09-13",43,"Forest","Wild",2,0.0465116279069767,0.138284891843796
"310","Harrity","AZ_Forest_1004_20220718_2022",2022,31.3509,-110.77428,"2022-08-01","2022-09-13",43,"Forest","Wild",2,0.0465116279069767,0.160088330507278
"311","Harrity","AZ_Forest_1005_20220718_2022",2022,31.35072,-110.75279,"2022-08-01","2022-09-13",43,"Forest","Wild",1,0.0232558139534884,0.14979875087738
"312","Harrity","AZ_Forest_1006_20220718_2022",2022,31.34165,-110.78448,"2022-08-02","2022-09-13",42,"Forest","Wild",1,0.0238095238095238,0.193035662174225
"313","Harrity","AZ_Forest_1007_20220718_2022",2022,31.34159,-110.76318,"2022-08-01","2022-09-12",42,"Forest","Wild",1,0.0238095238095238,0.161515951156616
"314","Harrity","AZ_Forest_1008_20220718_2022",2022,31.34165,-110.74272,"2022-08-08","2022-09-13",36,"Forest","Wild",0,0,0.148409873247147
"315","Harrity","AZ_Forest_1101_20220722_2022",2022,31.3594,-110.70051,"2022-08-01","2022-09-26",56,"Forest","Wild",1,0.0178571428571429,0.096421867609024
"316","Harrity","AZ_Forest_1101_20220926_2022",2022,31.3594,-110.70051,"2022-09-26","2022-11-17",52,"Forest","Wild",0,0,0.096421867609024
"317","Harrity","AZ_Forest_1102_20220722_2022",2022,31.35964,-110.67932,"2022-08-08","2022-09-10",33,"Forest","Wild",0,0,0.172835171222687
"318","Harrity","AZ_Forest_1102_20220926_2022",2022,31.35964,-110.67932,"2022-09-27","2022-11-17",51,"Forest","Wild",0,0,0.172835171222687
"319","Harrity","AZ_Forest_1103_20220722_2022",2022,31.35944,-110.65825,"2022-08-06","2022-09-26",51,"Forest","Wild",0,0,0.225813776254654
"320","Harrity","AZ_Forest_1103_20220926_2022",2022,31.35944,-110.65825,"2022-09-26","2022-11-17",52,"Forest","Wild",0,0,0.225813776254654
"321","Harrity","AZ_Forest_1104_20220722_2022",2022,31.35055,-110.6898,"2022-08-02","2022-09-23",52,"Forest","Wild",0,0,0.135670036077499
"322","Harrity","AZ_Forest_1104_20220926_2022",2022,31.35055,-110.6898,"2022-09-26","2022-11-13",48,"Forest","Wild",2,0.0416666666666667,0.135670036077499
"323","Harrity","AZ_Forest_1105_20220926_2022",2022,31.35005,-110.66898,"2022-09-26","2022-11-16",51,"Forest","Wild",0,0,0.219787091016769
"324","Harrity","AZ_Forest_1106_20220926_2022",2022,31.34158,-110.70044,"2022-09-29","2022-11-14",46,"Forest","Wild",0,0,0.164477497339249
"325","Harrity","AZ_Forest_1107_20220926_2022",2022,31.34133,-110.67929,"2022-09-30","2022-11-12",43,"Forest","Wild",0,0,0.172805666923523
"326","Harrity","AZ_Forest_1108_20220926_2022",2022,31.34148,-110.65851,"2022-09-26","2022-11-15",50,"Forest","Wild",2,0.04,0.181147873401642
"327","Harrity","AZ_Forest_Harrity_1001_20220913_2022",2022,31.35955,-110.78466,"2022-09-14","2022-11-06",53,"Forest","Wild",0,0,0.252568155527115
"328","Harrity","AZ_Forest_Harrity_1002_20220913_2022",2022,31.35977,-110.76364,"2022-09-18","2022-11-06",49,"Forest","Wild",0,0,0.214390933513641
"329","Harrity","AZ_Forest_Harrity_1003_20220913_2022",2022,31.359933,-110.74257,"2022-09-14","2022-11-05",52,"Forest","Wild",1,0.0192307692307692,0.138284891843796
"330","Harrity","AZ_Forest_Harrity_1004_20220913_2022",2022,31.3509,-110.77428,"2022-09-14","2022-11-06",53,"Forest","Wild",0,0,0.160088330507278
"331","Harrity","AZ_Forest_Harrity_1005_20220913_2022",2022,31.35072,-110.75279,"2022-09-14","2022-11-06",53,"Forest","Wild",0,0,0.14979875087738
"332","Harrity","AZ_Forest_Harrity_1006_20220913_2022",2022,31.34165,-110.78448,"2022-09-16","2022-11-07",52,"Forest","Wild",0,0,0.193035662174225
"333","Harrity","AZ_Forest_Harrity_1007_20220913_2022",2022,31.34159,-110.76318,"2022-09-14","2022-11-06",53,"Forest","Wild",1,0.0188679245283019,0.161515951156616
"334","Harrity","AZ_Forest_Harrity_1008_20220913_2022",2022,31.34165,-110.74272,"2022-09-14","2022-11-05",52,"Forest","Wild",0,0,0.148409873247147
"335","SRER2","AZ_Forest_Rural_SRER2_2023_10_2023",2023,31.764158,-110.84574,"2023-09-16","2023-11-10",55,"Forest","Rural",5,0.0909090909090909,0.239188432693481
"336","SRER2","AZ_Forest_Rural_SRER2_2023_11_2023",2023,31.765504,-110.847265,"2023-09-16","2023-11-10",55,"Forest","Rural",4,0.0727272727272727,0.239188432693481
"337","SRER2","AZ_Forest_Rural_SRER2_2023_12_2023",2023,31.767271,-110.848459,"2023-09-16","2023-11-10",55,"Forest","Rural",4,0.0727272727272727,0.239188432693481
"338","SRER2","AZ_Forest_Rural_SRER2_2023_13_2023",2023,31.768643,-110.849972,"2023-09-16","2023-11-10",55,"Forest","Rural",4,0.0727272727272727,0.196056872606277
"339","SRER2","AZ_Forest_Rural_SRER2_2023_14_2023",2023,31.769208,-110.852224,"2023-09-16","2023-11-10",55,"Forest","Rural",2,0.0363636363636364,0.196056872606277
"340","SRER2","AZ_Forest_Rural_SRER2_2023_15_2023",2023,31.769799,-110.854341,"2023-09-16","2023-11-10",55,"Forest","Rural",5,0.0909090909090909,0.196056872606277
"341","SRER2","AZ_Forest_Rural_SRER2_2023_16_2023",2023,31.770299,-110.857662,"2023-10-04","2023-11-10",37,"Forest","Rural",2,0.0540540540540541,0.196056872606277
"342","SRER2","AZ_Forest_Rural_SRER2_2023_17_2023",2023,31.771313,-110.8595,"2023-09-16","2023-09-27",11,"Forest","Rural",1,0.0909090909090909,0.196056872606277
"343","SRER2","AZ_Forest_Rural_SRER2_2023_18_2023",2023,31.772663,-110.861052,"2023-09-16","2023-11-10",55,"Forest","Rural",5,0.0909090909090909,0.155066072940826
"344","SRER2","AZ_Forest_Rural_SRER2_2023_19_2023",2023,31.773711,-110.862938,"2023-09-16","2023-11-10",55,"Forest","Rural",5,0.0909090909090909,0.155066072940826
"345","Harrity","AZ_Forest_Wild_Harrity_23_100320230717_2023",2023,31.359933,-110.74257,"2023-08-01","2023-09-11",41,"Forest","Wild",1,0.024390243902439,0.138284891843796
"346","Harrity","AZ_Forest_Wild_Harrity_23_100320230912_2023",2023,31.359933,-110.74257,"2023-09-13","2023-12-01",79,"Forest","Wild",2,0.0253164556962025,0.138284891843796
"347","Harrity","AZ_Forest_Wild_Harrity_23_100420230717_2023",2023,31.3509,-110.77428,"2023-08-01","2023-09-12",42,"Forest","Wild",0,0,0.160088330507278
"348","Harrity","AZ_Forest_Wild_Harrity_23_100420230912_2023",2023,31.3509,-110.77428,"2023-09-13","2023-11-30",78,"Forest","Wild",0,0,0.160088330507278
"349","Harrity","AZ_Forest_Wild_Harrity_23_100520230717_2023",2023,31.35072,-110.75279,"2023-08-01","2023-09-03",33,"Forest","Wild",0,0,0.14979875087738
"350","Harrity","AZ_Forest_Wild_Harrity_23_100520230912_2023",2023,31.35072,-110.75279,"2023-09-12","2023-11-13",62,"Forest","Wild",0,0,0.14979875087738
"351","Harrity","AZ_Forest_Wild_Harrity_23_100620230717_2023",2023,31.34165,-110.78448,"2023-08-05","2023-09-10",36,"Forest","Wild",0,0,0.193035662174225
"352","Harrity","AZ_Forest_Wild_Harrity_23_100620230912_2023",2023,31.34165,-110.78448,"2023-09-13","2023-11-04",52,"Forest","Wild",0,0,0.193035662174225
"353","Harrity","AZ_Forest_Wild_Harrity_23_100720230717_2023",2023,31.34159,-110.76318,"2023-08-01","2023-09-09",39,"Forest","Wild",0,0,0.161515951156616
"354","Harrity","AZ_Forest_Wild_Harrity_23_100720230912_2023",2023,31.34159,-110.76318,"2023-09-15","2023-11-29",75,"Forest","Wild",0,0,0.161515951156616
"355","Harrity","AZ_Forest_Wild_Harrity_23_100820230717_2023",2023,31.34165,-110.74272,"2023-08-01","2023-09-12",42,"Forest","Wild",0,0,0.148409873247147
"356","Harrity","AZ_Forest_Wild_Harrity_23_100820230912_2023",2023,31.34165,-110.74272,"2023-09-13","2023-11-25",73,"Forest","Wild",0,0,0.148409873247147
