Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Predator_Occupancy,Humans_Per_Camera_Per_Day_1,Disturbance_1
Tucson,AZ_Desert_BC1_dep1_2022,2022,32.303397,-110.803233,2022-08-18,2022-11-12,86,Desert,Suburban,60,0.0010216989532589307,0.38531942728803714,2.1250379010151184
Tucson,AZ_Desert_LP7_dep1_2022,2022,32.1865,-110.801335,2022-09-11,2022-10-27,46,Desert,Suburban,4,0.004159083962888416,-0.2660128594456308,2.2783683157962633
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_10_2019,2019,33.74075,-111.80756,2019-08-26,2019-10-21,56,Desert,Rural,16,0.0023083414710959715,-0.05403716726362309,1.2660669868059473
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_1_2019,2019,33.74051,-111.8153,2019-08-26,2019-10-21,56,Desert,Rural,7,0.0023083414710959715,-0.22543938711391842,1.3524297826525304
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_01_2020,2020,33.73354,-111.81382,2020-09-10,2020-10-26,46,Desert,Rural,11,0.0032706080024905745,-0.10371897011878103,1.744076074671044
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_02_2020,2020,33.6997,-111.79261,2020-09-11,2020-10-26,45,Desert,Rural,4,0.0033869268964000277,-0.26395198466052794,-0.80128245599259
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_03_2020,2020,33.73341,-111.8083,2020-09-10,2020-10-26,46,Desert,Rural,9,0.0032706080024905745,-0.150088652783596,1.2594948623938642
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_04_2020,2020,33.72556,-111.81516,2020-09-10,2020-10-26,46,Desert,Rural,4,0.0032706080024905745,-0.2660128594456308,1.971075376706987
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_05_2020,2020,33.72388,-111.80848,2020-09-10,2020-10-26,46,Desert,Rural,4,0.0032706080024905745,-0.2660128594456308,0.9253850546784342
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_06_2020,2020,33.71826,-111.81207,2020-09-10,2020-10-26,46,Desert,Rural,6,0.0032706080024905745,-0.2196431767808163,1.971075376706987
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_07_2020,2020,33.69793,-111.78978,2020-09-11,2020-10-27,46,Desert,Rural,7,0.0032706080024905745,-0.1964583354484099,-0.80128245599259
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_08_2020,2020,33.69004,-111.80097,2020-09-11,2020-10-27,46,Desert,Rural,5,0.0032706080024905745,-0.24282801811322377,1.514274924473411
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_10_2020,2020,33.71574,-111.78957,2020-09-10,2020-10-21,41,Desert,Rural,5,0.0037607924110883715,-0.2286909197398049,-0.8767203425886739
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_11_2020,2020,33.6969,-111.80902,2020-09-11,2020-10-27,46,Desert,Rural,7,0.0032706080024905745,-0.1964583354484099,1.514274924473411
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_3_2019,2019,33.73351,-111.80827,2019-08-26,2019-10-21,56,Desert,Rural,17,0.0023083414710959715,-0.03499247616914569,1.2594948623938642
