Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Predator_Occupancy,Humans_Per_Camera_Per_Day_1,Disturbance_1
Tucson,AZ_Desert_LP9_dep1_2022,2022,32.17523,-110.78306,2022-09-11,2022-10-27,46,Desert,Suburban,1,0.01601406338872212,-0.15065920680014186,3.038205733856233
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_7B_2019,2019,33.69861,-111.79361,2019-09-03,2019-10-10,37,Desert,Rural,0,0.021502221145563116,-1.5889598218132952,-0.6790217566033577
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_8_2019,2019,33.69278,-111.79083,2019-08-27,2019-10-21,55,Desert,Rural,2,0.015261897565810098,0.8169248432996189,-0.7556683409636924
Sonoran,AZ_Desert_Sonoran_22_CONFORTI 08/06/2022_2022,2022,32.45722,-110.93167,2022-08-06,2022-12-03,119,Desert,Suburban,2,0.003238402901804586,-0.47699632113085905,3.71497346473506
Sonoran,AZ_Desert_Sonoran_22_OWL_2022,2022,32.44865,-110.94195,2022-09-04,2022-11-14,71,Desert,Suburban,1,0.00779867322253057,-0.6571030853259011,3.249359874588625
Sonoran,AZ_Desert_Sonoran_22_RINGTAIL 10/09/2022_2022,2022,32.45684,-110.92036,2022-10-09,2022-11-20,42,Desert,Suburban,1,0.01352734269185304,-0.013678195846508194,3.0372152246217055
Sonoran,AZ_Desert_Sonoran_22_TOAD_2022,2022,32.45587,-110.92937,2022-08-02,2022-10-08,67,Desert,Suburban,2,0.008508716019775873,0.3860201271599895,3.71497346473506
Sonoran,AZ_Desert_Sonoran_22_VIEW_2022,2022,32.45335,-110.93004,2022-08-02,2022-08-24,22,Desert,Suburban,1,0.019272731083521604,1.4183960095778476,3.71497346473506
Sonoran,AZ_Desert_Sonoran_23_LION_10-29-2023_2023,2023,32.43594,-110.94627,2023-09-16,2023-10-29,43,Desert,Suburban,2,0.013095134875293143,1.4883345172846127,3.3189113815959335
Sonoran,AZ_Desert_Sonoran_23_OWL_10-31-2023_2023,2023,32.44865,-110.94195,2023-08-21,2023-10-31,71,Desert,Suburban,1,0.00779867322253057,-0.6571030853259011,3.249359874588625
Tucson,AZ_Desert_TV5_dep1_2022,2022,32.248543,-110.796723,2022-08-23,2022-11-08,77,Desert,Suburban,3,0.00904258134151593,0.9887737479505417,3.4129565591913162
Tucson,AZ_Desert_UT3_2022,2022,32.242993,-110.749996,2022-08-30,2022-11-17,79,Desert,Suburban,3,0.00866034657690034,0.923514670234999,2.9344996466403375
Harrity,AZ_Forest_1002_20220718_2022,2022,31.35977,-110.76364,2022-08-02,2022-09-13,42,Forest,Wild,1,0.11003080400299835,-0.013678195846508194,-0.22345008532897662
