"project_id","subproject_name","habitat","deployment_id","placename","longitude","latitude","start_date","end_date","feature_type"
"Snapshot USA 2021","Crupi","Forest","AK_Forest_Crupi_21_dep_02 09/01/2021","AK_Forest_Crupi_loc_02",-135.87256,59.39466,"2021-09-01","2021-12-16","None"
"Snapshot USA 2021","Crupi","Forest","AK_Forest_Crupi_21_dep_03 09/01/2021","AK_Forest_Crupi_21_loc03",-135.9288107,59.39905304,"2021-09-01","2021-12-16","None"
"Snapshot USA 2021","Crupi","Forest","AK_Forest_Crupi_21_dep_08 08/30/2021","AK_Forest_Crupi_21_loc08",-136.145609,59.403024,"2021-08-30","2021-10-12","None"
"Snapshot USA 2021","Crupi","Forest","AK_Forest_Crupi_21_dep_07 08/31/2021","AK_Forest_Crupi_21_loc07",-136.0642317,59.41422998,"2021-08-31","2021-12-15","None"
"Snapshot USA 2021","Crupi","Forest","AK_Forest_Crupi_21_dep_05 08/30/2021","AK_Forest_Crupi_21_loc05",-136.0753879,59.41491635,"2021-08-30","2021-12-15","None"
"Snapshot USA 2021","Crupi","Forest","AK_Forest_Crupi_21_dep_06 08/30/2021","AK_Forest_Crupi_21_loc06",-136.0691137,59.41505398,"2021-08-30","2021-12-15","None"
"Snapshot USA 2021","Crupi","Forest","AK_Forest_Crupi_21_dep_09 08/24/2021","AK_Forest_Crupi_21_loc09",-135.955056,59.358192,"2021-08-24","2021-10-11","None"
"Snapshot USA 2021","Crupi","Forest","AK_Forest_Crupi_21_dep_01 08/30/2021","AK_Forest_Crupi_21_dep_01",-136.2225117,59.42643109,"2021-08-30","2021-12-15","None"
"Snapshot USA 2021","Crupi","Forest","AK_Forest_Crupi_21_dep_10 08/24/2021","AK_Forest_Crupi_21_loc10",-136.20086,59.452635,"2021-08-24","2021-10-10","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 18 10/04/2021","AL_Forest_Fantle-Lepczyk_21_camera 18",-85.486891,32.658775,"2021-10-04","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 16 10/04/2021","AL_Forest_Fantle-Lepczyk_21_camera 16",-85.483102,32.658775,"2021-10-04","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 17 10/04/2021","AL_Forest_Fantle-Lepczyk_21_camera 17",-85.485161,32.659196,"2021-10-04","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 15 10/04/2021","AL_Forest_Fantle-Lepczyk_21_camera 15",-85.484011,32.66012,"2021-10-03","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 1 10/03/2021","AL_Forest_Fantle-Lepczyk_21_camera 1",-85.488132,32.660299,"2021-10-03","2021-12-04","None"
