"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","Site"
"1","7","7","7","7","7","7","7","7","7","7","7","7","3",NA,"AZ_Desert_BC1_dep1_2022"
"2","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_LP7_dep1_2022"
"3","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_10_2019"
"4","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_1_2019"
"5","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_01_2020"
"6","7","7","7","7","7","7","4",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_02_2020"
"7","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_03_2020"
"8","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_04_2020"
"9","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_05_2020"
"10","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_06_2020"
"11","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_07_2020"
"12","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_08_2020"
"13","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_10_2020"
"14","7","7","7","7","7","7","5",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_20_11_2020"
"15","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_3_2019"
"16","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_4_2019"
"17","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_5_2019"
"18","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_McDowell_Sonoran_Preserve_6_2019"
"19","7","7","7","7","7","7","7","7","7","7","2",NA,NA,NA,"AZ_Desert_Res2_dep1_2022"
"20","7","7","7","7","7","7","3",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Res5_dep1_2022"
"21","7","7","7","7","7","7","7","7","7","7","7",NA,NA,NA,"AZ_Desert_SB3_dep1_2022"
"22","7","7","7","7","7","7","7","7","7","7","7","4",NA,NA,"AZ_Desert_Sonoran_22_DEER 09/01/2022_2022"
"23","7","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_DOVE 10/24/2022_2022"
"24","7","7","7","7","7","7","7","7","7","7","7","7",NA,NA,"AZ_Desert_Sonoran_22_MALLOW 08/18/2022_2022"
"25","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_Mallow_10-01_2022"
"26","7","7","7","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_OWL_09-04_2022"
"27","7","7","7","7","7","3",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_SNIBBY 10/03/2022_2022"
"28","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_22_THRASHER_2022"
"29","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_DAVID_09-23-2023_2023"
"30","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_DEER_11-11-2023_2023"
"31","7","7","7","7","7","7","7","7","7","7",NA,NA,NA,NA,"AZ_Desert_Sonoran_23_DOVE_10-29-2023_2023"
"32","7","7","7","7","7","7","7","7","7","4",NA,NA,NA,NA,"AZ_Desert_Tucson_AC2_dep1_2022"
"33","7","7","7","7","7","7","7","7","7","4",NA,NA,NA,NA,"AZ_Desert_Tucson_AC3_depl1_2022"
"34","7","7","7","7","7","7","7","6",NA,NA,NA,NA,NA,NA,"AZ_Desert_Tucson_AC4_dep1_2022"
"35","7","7","7","7","7","7","7","7","7","7","2",NA,NA,NA,"AZ_Desert_Tucson_Res3_dep1_2022"
"36","7","7","7","7","7","4",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1001_20220718_2022"
"37","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_10_2023"
"38","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_11_2023"
"39","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_12_2023"
"40","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_13_2023"
"41","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_15_2023"
"42","7","7","7","7","7","3",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_16_2023"
"43","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_17_2023"
"44","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_18_2023"
"45","7","7","7","7","7","7","7","7",NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_19_2023"
"46","7","7","7","7","7","7","7","7","7","7","2",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc1 09/09/2023_2023"
"47","7","7","7","7","7","7","7","7","7","7",NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc2 09/09/2023_2023"
"48","7","7","7","7","7","7","7","7","7","7","2",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc3_REAL 09/09/2023_2023"
"49","7","7","7","7","7","7","7","7","7","7","2",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc4 09/09/2023_2023"
"50","7","7","7","7","7","7","7","7","7","7","2",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc5 09/09/2023_2023"
"51","7","7","7","7","7","7","7","7","7","7","2",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc6 09/09/2023_2023"
"52","7","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc7 09/09/2023_2023"
"53","7","7","7","7","7","7","7","7","7","7","2",NA,NA,NA,"AZ_Forest_Wild_NAU_Loc8 09/09/2023_2023"
"54","7","7","7","7","7","7","7","2",NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc9_09.30.23_2023"
"55","7","7","7","7","7","7","7","7","7","7","6",NA,NA,NA,"AZ_Grassland_Cienega_10_2019"
"56","7","7","7","7","7","7","7","7","7","7","7",NA,NA,NA,"AZ_Grassland_Cienega_16_2019"
"57","7","7","7","7","7","7","7","7","7","7",NA,NA,NA,NA,"AZ_Grassland_Cienega_17_2019"
"58","7","7","7","7","7","7","7","7","7","7","7",NA,NA,NA,"AZ_Grassland_Cienega_1_2019"
"59","7","7","7","7","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_1_2023"
"60","7","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_2_2023"
"61","7","7","7","7","7","7","3",NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_3_2023"
"62","7","7","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_4_2023"
