project_id,deployment_id,placename,longitude,latitude,start_date,end_date,survey_days,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,habitat_type,landuse_type,subproject_design,event_name,event_description,event_type,recorded_by
Snapshot USA 2022,NC_Wetland_ARNWR_22_Cam12,NC_Wetland_ARNWR_22_Cam12,-75.9156,35.8655,9/2/2022,9/3/2022,1,None, ,Road dirt, ,2056754,ARNWR_Cam12,0,Wildlife Damage,Knee height, ,Parallel, , , , ,ARNWR,Forest,Wild, , , , , 
Snapshot USA 2022,NY_Anthropogenic_NYC_22_loc09 09/15/2022,NY_Anthropogenic_NYC_22_loc09,-73.8052,40.8653,9/15/2022,9/16/2022,1,None, ,None, ,2029638,MRG_E5,0,Unknown Failure,Knee height, ,Parallel, , , , ,NYC,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,TX_Grassland_GeneHowe_22_cam12 09/27/2022,TX_Grassland_GeneHowe_22_cam12,-100.3007,35.9202,9/27/2022,9/28/2022,1,None, ,Water source, ,2027919,12,0,Camera Functioning,Knee height, ,Parallel, , , , ,GeneHowe,Grassland,Wild, , , , , 
Snapshot USA 2022,MT_Grassland_Fort_Belknap_22_Cam11,11_MT_Grassland_Fort_Belknap_22,-108.8617,48.4031,10/3/2022,10/4/2022,1,None, ,None, ,2069781,SI 59,0,Wildlife Damage,Knee height, ,Parallel, , , , ,FortBelknap,Grassland,Wild, , , , , 
Snapshot USA 2022,MT_Grassland_Fort_Belknap_22_Cam03,MT_Grassland_Fort_Belknap_22_Cam03,-108.8489,48.4101,9/30/2022,10/2/2022,2,None, ,None, ,2070100,BC06,60,Wildlife Damage,Knee height, ,Parallel, , , , ,FortBelknap,Grassland,Wild, , , , , 
Snapshot USA 2022,MT_Grassland_Fort_Belknap_22_Cam12,MT_Grassland_Fort_Belknap_22_Cam12,-108.8684,48.4070,10/3/2022,10/5/2022,2,None, ,None, ,2070109,BC 02,60,Wildlife Damage,Knee height, ,Parallel, , , , ,FortBelknap,Grassland,Wild, , , , , 
Snapshot USA 2022,MO_Forest_hansen_22_cam14,mo_forest_hansen_22_14,-92.5897,40.0776,9/2/2022,9/5/2022,3,None, ,None, ,2026488,1,1,Camera Functioning,Knee height, ,Parallel, , , , ,HBHMAcres,Forest,Wild, , , , , 
Snapshot USA 2022,WI_Forest_Whitewater_22_loc_9 09/23/2022,WI_Forest_Whitewater_22_loc_9,-88.7480,42.8501,9/23/2022,9/26/2022,3,None, ,Trail hiking, ,2026541,8,0,Unknown Failure,Knee height, ,Parallel, , , , ,Whitewater,Forest,Rural, , , , , 
Snapshot USA 2022,DC_Forest_Urban_DaingerfieldIsland 09/30/2022,DC_DaingerfieldIsland,-77.0420,38.7956,9/30/2022,10/3/2022,3,None, ,Trail game, ,2021663,Bushnell,0,Unknown Failure,Knee height, ,Parallel, , , , ,Herrera,Forest,Urban, , , , , 
Snapshot USA 2022,MT_Grassland_Fort_Belknap_22_Cam01 09/30/2022,MT_Grassland_Fort_Belknap_22_Cam01,-108.8567,48.4071,9/30/2022,10/3/2022,3,None, ,None, ,2069840,SI 68,0,Wildlife Damage,Knee height, ,Parallel, , , , ,FortBelknap,Grassland,Wild, , , , , 
Snapshot USA 2022,MT_Grassland_Fort_Belknap_22_Cam02,MT_Grassland_Fort_Belknap_22_Cam02,-108.8526,48.4083,9/30/2022,10/3/2022,3,None, ,None, ,2069839,SI 37,0,Wildlife Damage,Knee height, ,Parallel, , , , ,FortBelknap,Grassland,Wild, , , , , 
Snapshot USA 2022,ND_grassland_oakville_prairie_05b,ND_grassland_oakville_prairie_05,-97.3105,47.9096,10/18/2022,10/21/2022,3,None, ,None, ,2062729,Bushnell Core Low Glow 24 MP,0,Camera Functioning,Knee height, ,Parallel, , , , ,OakvillePrairie,Grassland,Wild, , , , , 
Snapshot USA 2022,CA_Grassland_Carrizo_Camera 11_deployment 1,CA_Grassland_Carrizo_22_11,-120.0141,35.3893,9/8/2022,9/12/2022,4,None, ,Trail game, ,2029560,Bushnell E3_5,0,Unknown Failure,Knee height, ,Parallel, , , , ,Carrizo,Grassland,Wild, , , , , 
Snapshot USA 2022,MA_Forest_WT_22_8A,MA_Forest_WT_22_8,-70.6629,41.4012,9/14/2022,9/18/2022,4,None, ,None, ,2027921,Browning,1,Camera Functioning,Knee height, ,Parallel, , , , ,WT,Forest,Rural, , , , , 
