Species,Occupancy_Low,p.value_low,Occupancy_High,p.value_high,lower_CI_low,upper_CI_low,lower_CI_high,upper_CI_high,Difference,Significant,Trend,Type
Puma concolor,-2.7624217295335374,7.747212520365486e-11,-3.0178424366158048,6.991766554306749e-8,-3.1870550409976897,-2.337788418069385,-3.5775954183150476,-2.458089454916562,-0.2554207070822674,No,slightly decreasing,carnivore
Canis lupus,-0.7007582544386883,0.0472275827686412,-6.368203614177373,0.018286732945395404,-1.0539178888546874,-0.34759862002268915,-9.066868756067867,-3.6695384722868787,-5.667445359738685,Yes,decreasing,carnivore
Odocoileus virginianus,3.812644428885593,2.225263509764732e-19,6.180835007168707,0,3.3890908358629903,4.236198021908195,6.158866976176582,6.202803038160831,2.3681905782831136,Yes,increasing,herbivore
Odocoileus hemionus,-0.6937402906464403,0.07105469061121164,0.01627017350139809,0.9444015488444981,-1.0780567377335737,-0.3094238435593069,-0.21703138203743644,0.24957172904023261,0.7100104641478384,Yes,increasing,herbivore
Cervus canadensis,-1.040529209309886,0.01699604222341969,-2.5591502784921825,9.500163113609368e-5,-1.4764819964152953,-0.6045764222044766,-3.214835684671026,-1.903464872313339,-1.5186210691822966,Yes,decreasing,herbivore
Alces alces,-2.9018288757673605,4.254886796869153e-6,-2.775852022799848,0.010677885197307106,-3.532863315053275,-2.270794436481446,-3.863113603452275,-1.6885904421474214,0.12597685296751227,No,slightly increasing,herbivore
Canis latrans,-0.060258108584061325,0.48585066519422104,0.09400461829834375,0.22370343617976574,-0.14672112482441937,0.026204907656296718,0.016745158269263455,0.17126407832742405,0.15426272688240508,No,slightly increasing,mesocarnivore
Lynx rufus,-1.8201511504419776,3.4643973621673722e-37,-2.073860180946131,4.733042308035239e-43,-1.963000298812539,-1.6773020020714162,-2.2246282465387712,-1.9230921153534901,-0.25370903050415317,No,slightly decreasing,mesocarnivore
Procyon lotor,-0.6742715113671697,1.5126183145385091e-6,0.7683086508452616,2.0518481833828266e-12,-0.8144654824596438,-0.5340775402746956,0.6590328666278418,0.8775844350626814,1.4425801622124312,Yes,increasing,mesocarnivore
Vulpes vulpes,-6.287995412198693,1.4698001852799832e-16,-2.7096652146147235,1.7396233076073995e-36,-7.049352257899933,-5.5266385664974536,-2.9244577161077294,-2.4948727131217177,3.57833019758397,Yes,increasing,mesocarnivore
Mephitis mephitis,-3.1415762958523916,1.803668565027955e-64,-2.7946122367545994,7.404186169000457e-64,-3.326878343945932,-2.9562742477588513,-2.9602620903496604,-2.6289623831595383,0.34696405909779227,No,slightly increasing,mesocarnivore
