"Predator","Prey","overlap_low","overlap_high","Difference","Significant"
"Puma","White-tailed Deer",0.03,0.02,-0.01,"No"
"Puma","Mule Deer",-0.01,0.43,0.43,"No"
"Puma","Elk",0.39,0.56,0.17,"No"
"Puma","Moose",0.73,0.61,-0.12,"No"
"Puma","Coyote",0.01,0.05,0.04,"No"
"Puma","Bobcat",0.45,0.22,-0.22,"No"
"Puma","Raccoon",0.15,0.06,-0.09,"No"
"Puma","Red Fox",0.15,0.49,0.34,"No"
"Puma","Striped Skunk",0.4,0.67,0.28,"No"
"Wolf","White-tailed Deer",-0.06,-0.69,-0.63,NA
"Wolf","Mule Deer",-0.44,0.59,1.03,"No"
"Wolf","Elk",0.15,1.24,1.09,"No"
"Wolf","Moose",0.3,0.3,0,"No"
"Wolf","Coyote",0,0.33,0.34,"No"
"Wolf","Bobcat",0.26,0.25,-0.02,"No"
"Wolf","Raccoon",-0.2,0.12,0.32,"No"
"Wolf","Red Fox",0.63,0.48,-0.15,"No"
"Wolf","Striped Skunk",-0.02,0.03,0.05,"No"
