"Species","Noct_Low","Noct_High","Noct_Diff","p.value","n_Photos","n_Cameras"
"Puma",0.64,0.79,0.16,"0.001",371,170
"Wolf",0.64,0.59,-0.05,"0.407",299,126
"White-tailed Deer",0.5,0.56,0.06,"< 0.001",231618,6910
"Mule Deer",0.53,0.58,0.05,"< 0.001",18758,1140
"Elk",0.57,0.47,-0.1,"< 0.001",4466,447
"Moose",0.58,0.49,-0.09,"0.018",749,199
"Coyote",0.68,0.77,0.1,"< 0.001",20864,3689
"Bobcat",0.58,0.67,0.08,"< 0.001",3391,1280
"Raccoon",0.92,0.94,0.02,"< 0.001",78622,4605
"Red Fox",0.73,0.81,0.08,"< 0.001",11390,1197
"Striped Skunk",0.97,0.98,0.01,"0.061",2778,769
"Human",0.03,0.08,0.05,"< 0.001",84868,8497
