"Predator","Prey","Overlap_Low","Overlap_High","Difference","p_value","Median_Human_Dist","n_Predator_Low","n_Predator_High","n_Prey_Low","n_Prey_High"
"Puma","White-tailed Deer",0.79,0.75,-0.04,"< 0.001",0.04,46,237,6395,7682
"Puma","Mule Deer",0.84,0.76,-0.07,"< 0.001",0.06,105,245,6163,7952
"Puma","Elk",0.75,0.69,-0.06,"< 0.001",0.05,80,213,1110,1228
"Puma","Moose",0.81,0.58,-0.23,"< 0.001",0.07,54,93,72,53
"Puma","Coyote",0.86,0.87,0.01,"< 0.001",0.06,105,245,2461,2976
"Puma","Bobcat",0.81,0.83,0.02,"< 0.001",0.08,123,227,471,349
"Puma","Raccoon",0.59,0.65,0.06,"< 0.001",0.08,101,109,231,494
"Puma","Red Fox",0.82,0.92,0.1,"< 0.001",0.1,121,162,1219,2644
"Puma","Striped Skunk",0.57,0.79,0.22,"< 0.001",0.07,121,229,512,598
"Wolf","White-tailed Deer",0.9,0.8,-0.09,"< 0.001",0.05,54,154,9328,9538
"Wolf","Mule Deer",0.62,0.66,0.04,"< 0.001",0.05,95,76,1491,1602
"Wolf","Elk",0.63,0.71,0.07,"< 0.001",0.05,9,72,839,829
"Wolf","Moose",0.77,0.7,-0.08,"< 0.001",0.05,139,158,174,101
"Wolf","Coyote",0.9,0.82,-0.08,"< 0.001",0.05,136,162,691,731
"Wolf","Bobcat",0.77,0.61,-0.16,"< 0.001",0.06,67,141,60,26
"Wolf","Raccoon",0.46,0.55,0.09,"< 0.001",0.06,59,89,120,204
"Wolf","Red Fox",0.73,0.7,-0.03,"< 0.001",0.07,161,135,262,628
"Wolf","Striped Skunk",0.5,0.55,0.05,"< 0.001",0.07,81,127,147,156
