"","Species","Overlap_Low","Overlap_High","Difference","p_value","Median_Human_Dist","n_Species_Low","n_Species_High","n_Human_Low","n_Human_High","Type","Trend"
"1","Puma concolor",0.408218261249262,0.284257233540299,-0.123961027708963,1.79866460839095e-124,0.111111111111111,173,177,2424,12219,"carnivore","decreasing"
"2","Canis lupus",0.324677131860333,0.371204359479728,0.0465272276193946,1.74295577033469e-39,0.060153776571687,149,149,812,4985,"carnivore","increasing"
"3","Odocoileus virginianus",0.384111683282863,0.462593170413425,0.0784814871305625,0,0.0714285714285714,113294,113436,6282,87866,"herbivore","increasing"
"4","Odocoileus hemionus",0.416442081277334,0.505867446297953,0.0894253650206189,9.74601887036439e-289,0.0677966101694915,7890,7981,1788,14669,"herbivore","increasing"
"5","Cervus canadensis",0.295203616924737,0.589629446129418,0.294425829204681,0,0.0576923076923077,1163,1175,962,9865,"herbivore","increasing"
"6","Alces alces",0.353685479581628,0.432863216485646,0.0791777369040178,2.86214960181793e-60,0.0363636363636364,199,200,448,6255,"herbivore","increasing"
"7","Canis latrans",0.294920778220065,0.301072491285599,0.00615171306553441,2.96085174405752e-06,0.0833333333333333,10243,10406,8848,92823,"mesocarnivore","increasing"
"8","Lynx rufus",0.371356070448107,0.382768312243668,0.0114122417955608,2.35634398605795e-07,0.0847457627118644,1580,1591,7534,58977,"mesocarnivore","increasing"
"9","Procyon lotor",0.0937348758762207,0.144706233610861,0.0509713577346405,0,0.0769230769230769,33976,35035,7691,89448,"mesocarnivore","increasing"
"10","Vulpes vulpes",0.257320779886817,0.279301795630977,0.0219810157441603,3.95486906090006e-137,0.133333333333333,5506,5660,12623,82721,"mesocarnivore","increasing"
"11","Mephitis mephitis",0.0601732406691107,0.0937688514183656,0.0335956107492549,2.88502591024142e-224,0.0816326530612245,1178,1185,8593,87486,"mesocarnivore","increasing"
