Predator,Prey,overlap,p.value,lower_CI,upper_CI
Puma concolor,Odocoileus virginianus,0.056127822390205306,0.7640659015406874,-0.3103957499017942,0.4226513946822048
Puma concolor,Odocoileus hemionus,0.15842635511208927,0.11240233038330937,-0.03717562801227134,0.35402833823644986
Puma concolor,Cervus canadensis,0.47601094242446623,1.0548178752070565e-4,0.23540443483168066,0.7166174500172517
Puma concolor,Alces alces,0.8052236979881515,0.11994456492223649,-0.20971651868360164,1.8201639146599047
Puma concolor,Canis latrans,0.033223085819818525,0.7102901143822196,-0.1420746890660117,0.20852086070564876
Puma concolor,Lynx rufus,0.413414897400809,8.870508266132308e-5,0.2066850599968649,0.6201447348047531
Puma concolor,Procyon lotor,0.1040538197625533,0.7109119956272714,-0.4462109878521204,0.654318627377227
Puma concolor,Vulpes vulpes,0.44002088473855816,0.003912816548602937,0.14109222252579173,0.7389495469513245
Puma concolor,Mephitis mephitis,0.536338010935029,1.7172794954528843e-9,0.36178924123787953,0.7108867806321784
Canis lupus,Odocoileus virginianus,-0.2796905773147338,0.38159700086398746,-0.9062278629037912,0.3468467082743236
Canis lupus,Odocoileus hemionus,0.07383176907149823,0.7400287902183658,-0.36228525709451304,0.5099487952375095
Canis lupus,Cervus canadensis,0.40804214721918813,0.08232742019241406,-0.05229563824041222,0.8683799326787884
Canis lupus,Alces alces,0.32622952995914706,0.2199793366510933,-0.19506405040565594,0.84752311032395
Canis lupus,Canis latrans,0.1733774232066133,0.09282537882218757,-0.028814578056701734,0.37556942446992836
Canis lupus,Lynx rufus,0.43154736410776656,0.15560896268395638,-0.16411140765656024,1.0272061358720934
Canis lupus,Procyon lotor,0.008788968351478974,0.9600465204525592,-0.33508381986689134,0.35266175656984927
,,0,0,0,0
,,0,0,0,0
