"Predator","Prey","Overlap","n_Predator","n_Prey","Prey_Type"
"Puma concolor","Odocoileus virginianus",0.775388303495558,283,14077,"herbivore"
"Puma concolor","Odocoileus hemionus",0.792652083374841,350,14115,"herbivore"
"Puma concolor","Cervus canadensis",0.800974877222867,293,2338,"herbivore"
"Puma concolor","Alces alces",0.746628545293553,147,125,"herbivore"
"Puma concolor","Canis latrans",0.903820530646006,350,5437,"mesocarnivore"
"Puma concolor","Lynx rufus",0.914676273920502,350,820,"mesocarnivore"
"Puma concolor","Procyon lotor",0.671127935502693,210,725,"mesocarnivore"
"Puma concolor","Vulpes vulpes",0.901371687085717,283,3863,"mesocarnivore"
"Puma concolor","Mephitis mephitis",0.710595181838871,350,1110,"mesocarnivore"
"Canis lupus","Odocoileus virginianus",0.845521529707614,208,18866,"herbivore"
"Canis lupus","Odocoileus hemionus",0.644926008352711,171,3093,"herbivore"
"Canis lupus","Cervus canadensis",0.785784869204132,81,1668,"herbivore"
"Canis lupus","Alces alces",0.770173177097006,297,275,"herbivore"
"Canis lupus","Canis latrans",0.888916041636255,298,1422,"mesocarnivore"
"Canis lupus","Lynx rufus",0.75210273491898,208,86,"mesocarnivore"
"Canis lupus","Procyon lotor",0.508013852390499,148,324,"mesocarnivore"
"Canis lupus","Vulpes vulpes",0.740252291760505,296,890,"mesocarnivore"
"Canis lupus","Mephitis mephitis",0.523472707310788,208,303,"mesocarnivore"
