Species,Occupancy_Low,p.value_low,Occupancy_High,p.value_high,lower_CI_low,upper_CI_low,lower_CI_high,upper_CI_high,Difference,Significant,Trend,Type
Puma concolor,-2.7537484232753693,1.9187596301340814e-12,-5.008681442139521,6.599198459949253e-4,-3.144891202937548,-2.3626056436131906,-6.479352726539139,-3.5380101577399032,-2.2549330188641514,Yes,decreasing,carnivore
Canis lupus,-1.64321854552165,5.536929569194593e-4,-1.9087186103739011,2.9958459366335115e-4,-2.1190532676271805,-1.1673838234161193,-2.43662199989536,-1.3808152208524422,-0.2655000648522512,No,slightly decreasing,carnivore
Odocoileus virginianus,4.567363975830594,5.844808565072361e-21,5.465019626206511,0,4.081099675806717,5.0536282758544715,5.44507143786465,5.484967814548373,0.897655650375917,Yes,increasing,herbivore
Odocoileus hemionus,-0.3281858968586004,0.27240128209691855,0.08771374617925355,0.7347712486743496,-0.6272028575031736,-0.029168936214027108,-0.17119261148960885,0.3466201038481159,0.41589964303785393,No,slightly increasing,herbivore
Cervus canadensis,-1.9065284223877066,1.6017124913537348e-5,-1.9813156726230146,3.3540355148811826e-4,-2.3484462606124095,-1.464610584163004,-2.5337836406998155,-1.4288477045462136,-0.07478725023530797,No,slightly decreasing,herbivore
Alces alces,-2.6156974581018693,3.696031636340273e-5,-2.5507959338000936,2.818291174765689e-6,-3.2496978038609257,-1.9816971123428126,-3.095414572407751,-2.0061772951924364,0.06490152430177565,No,slightly increasing,herbivore
Canis latrans,0.01627082439448088,0.8162994008491696,-0.10096476262447325,0.21778621463435774,-0.05376928892469468,0.08631093771365644,-0.1828876800490271,-0.019041845199919374,-0.11723558701895413,No,slightly decreasing,mesocarnivore
Lynx rufus,-1.8102513728853034,1.5880866127484817e-43,-2.0338155606237507,4.818694270532633e-44,-1.9411060866698389,-1.6793966591007679,-2.1799276314258873,-1.887703489821614,-0.22356418773844733,No,slightly decreasing,mesocarnivore
Procyon lotor,0.05791876714101035,0.6325467326160983,0.21307273487324427,0.05265539624732263,-0.06321335955565713,0.17905089383767783,0.1031131243018798,0.32303234544460874,0.15515396773223392,No,slightly increasing,mesocarnivore
Vulpes vulpes,-4.889328054078714,1.8830051226798576e-16,-3.2420991820974723,2.5343317065145816e-37,-5.483464157144395,-4.295191951013033,-3.496060108802714,-2.9881382553922307,1.6472288719812416,Yes,increasing,mesocarnivore
Mephitis mephitis,-2.963408045499852,9.468896241189919e-75,-3.0219062535778116,2.485248611439495e-54,-3.1254079332493636,-2.8014081577503407,-3.2165990058163096,-2.8272135013393136,-0.05849820807795947,No,slightly decreasing,mesocarnivore
